name,value,治愈,死亡,date
钻石公主号邮轮,696,427,6,2020/3/10
钻石公主号邮轮,696,427,7,2020/3/11
钻石公主号邮轮,697,427,7,2020/3/12
钻石公主号邮轮,697,427,7,2020/3/13
钻石公主号邮轮,697,427,7,2020/3/14
钻石公主号邮轮,697,427,7,2020/3/15
钻石公主号邮轮,712,458,7,2020/3/16
钻石公主号邮轮,712,458,7,2020/3/17
钻石公主号邮轮,712,458,7,2020/3/18
钻石公主号邮轮,712,458,7,2020/3/19
钻石公主号邮轮,712,458,7,2020/3/20
钻石公主号邮轮,712,458,7,2020/3/21
钻石公主号邮轮,712,458,7,2020/3/22
钻石公主号邮轮,712,574,10,2020/3/23
钻石公主号邮轮,712,574,10,2020/3/24
钻石公主号邮轮,712,574,10,2020/3/25
钻石公主号邮轮,712,574,10,2020/3/26
钻石公主号邮轮,712,574,10,2020/3/27
钻石公主号邮轮,712,574,10,2020/3/28
钻石公主号邮轮,712,574,10,2020/3/29
钻石公主号邮轮,712,574,10,2020/3/30
钻石公主号邮轮,712,574,10,2020/3/31
钻石公主号邮轮,712,574,10,2020/4/1
钻石公主号邮轮,712,574,10,2020/4/2
钻石公主号邮轮,712,574,11,2020/4/3
钻石公主号邮轮,712,574,11,2020/4/4
钻石公主号邮轮,712,574,11,2020/4/5
钻石公主号邮轮,712,574,11,2020/4/6
钻石公主号邮轮,712,574,11,2020/4/7
钻石公主号邮轮,712,574,11,2020/4/8
钻石公主号邮轮,712,574,11,2020/4/9
钻石公主号邮轮,712,574,11,2020/4/10
钻石公主号邮轮,712,574,11,2020/4/11
钻石公主号邮轮,712,574,11,2020/4/12
钻石公主号邮轮,712,574,11,2020/4/13
钻石公主号邮轮,712,574,12,2020/4/14
钻石公主号邮轮,712,574,12,2020/4/15
钻石公主号邮轮,712,574,12,2020/4/16
钻石公主号邮轮,712,574,12,2020/4/17
钻石公主号邮轮,712,574,13,2020/4/18
钻石公主号邮轮,712,574,13,2020/4/19
钻石公主号邮轮,712,574,13,2020/4/20
钻石公主号邮轮,712,574,13,2020/4/21
钻石公主号邮轮,712,574,13,2020/4/22
钻石公主号邮轮,712,574,13,2020/4/23
钻石公主号邮轮,712,574,13,2020/4/24
钻石公主号邮轮,712,574,13,2020/4/25
钻石公主号邮轮,712,574,13,2020/4/26
钻石公主号邮轮,712,574,13,2020/4/27
钻石公主号邮轮,712,574,13,2020/4/28
钻石公主号邮轮,712,574,13,2020/4/29
钻石公主号邮轮,712,574,13,2020/4/30
钻石公主号邮轮,712,574,13,2020/5/1
钻石公主号邮轮,712,574,13,2020/5/2
钻石公主号邮轮,712,574,13,2020/5/3
钻石公主号邮轮,712,574,13,2020/5/4
钻石公主号邮轮,712,574,13,2020/5/5
钻石公主号邮轮,712,574,13,2020/5/6
钻石公主号邮轮,712,574,13,2020/5/7
钻石公主号邮轮,712,574,13,2020/5/8
钻石公主号邮轮,712,574,13,2020/5/9
钻石公主号邮轮,712,574,13,2020/5/10
钻石公主号邮轮,712,574,13,2020/5/11
钻石公主号邮轮,712,574,13,2020/5/12
钻石公主号邮轮,712,574,13,2020/5/13
钻石公主号邮轮,712,574,13,2020/5/14
钻石公主号邮轮,712,574,13,2020/5/15
钻石公主号邮轮,712,574,13,2020/5/16
中国,79801,56690,3092,2020/3/10
中国,79847,58750,3134,2020/3/11
中国,79847,61130,3158,2020/3/12
中国,80107,58325,3129,2020/3/13
中国,80082,61188,3160,2020/3/14
中国,81916.4929,127298,6344,2020/3/15
中国,81953.93892,128888,6379,2020/3/16
中国,82002.65717,130802,6400,2020/3/17
中国,82010.6887,130586,6412,2020/3/18
中国,82058.49645,133597,6432,2020/3/19
中国,82093.54639,135938,6450,2020/3/20
中国,82123.64097,136156,6442,2020/3/21
中国,82130.61263,139967,6479,2020/3/22
中国,82170.1079,141045,6511,2020/3/23
中国,82203.87018,140339,6507,2020/3/24
中国,82229.04636,140732,6495,2020/3/25
中国,82262.13858,143411,6548,2020/3/26
中国,82281.70573,142839,6522,2020/3/27
中国,82299.45679,142852,6539,2020/3/28
中国,82340.56827,146610,6559,2020/3/29
中国,82361.20526,146211,6555,2020/3/30
中国,82401.31214,145168,6549,2020/3/31
中国,82439.85288,144292,6569,2020/4/1
中国,82476.70536,148342,6600,2020/4/2
中国,82487.03882,147581,6604,2020/4/3
中国,82512.88304,147100,6608,2020/4/4
中国,82533.02268,148177,6612,2020/4/5
中国,82537.47332,149086,6639,2020/4/6
中国,82548.40524,148282,6623,2020/4/7
中国,82566.82026,147944,6619,2020/4/8
中国,82616.70207,149071,6633,2020/4/9
中国,82652.21763,148298,6619,2020/4/10
中国,82675.15905,150092,6639,2020/4/11
中国,82722.62622,149675,6646,2020/4/12
中国,82769.5238,149240,6636,2020/4/13
中国,82811.22807,151470,6666,2020/4/14
中国,82813.8319,150893,6643,2020/4/15
中国,82829.48456,148537,6639,2020/4/16
中国,82878.44712,149351,9228,2020/4/17
中国,82907.78818,147022,9204,2020/4/18
中国,82911.03627,147924,9213,2020/4/19
中国,82928.73132,147241,9211,2020/4/20
中国,82955.51435,148031,9204,2020/4/21
中国,82989.70691,149508,9216,2020/4/22
中国,82998.53884,148006,9208,2020/4/23
中国,83017.11202,150752,9223,2020/4/24
中国,83023.06078,148662,9225,2020/4/25
中国,83070.42146,147022,9196,2020/4/26
中国,83098.97464,149065,9213,2020/4/27
中国,83138.40465,85047,4696,2020/4/28
中国,83151.44918,86186,4695,2020/4/29
中国,83182.36483,86315,4689,2020/4/30
中国,83213.86668,86685,4701,2020/5/1
中国,83235.32083,84741,4686,2020/5/2
中国,83238.13248,82726,4689,2020/5/3
中国,83286.7175,85203,4702,2020/5/4
中国,83333.76047,85696,4693,2020/5/5
中国,83337.25792,84062,4691,2020/5/6
中国,83345.85767,85977,4696,2020/5/7
中国,83393.33981,84745,4693,2020/5/8
中国,83423.74791,85288,4696,2020/5/9
中国,83441.62495,148209,9210,2020/5/10
中国,83479.13859,149802,9210,2020/5/11
中国,83523.11724,85319,4697,2020/5/12
中国,83563.69484,84161,4690,2020/5/13
中国,83580.11536,85187,4698,2020/5/14
中国,83587.50215,83797,4682,2020/5/15
中国,83635,83398,4686,2020/5/16
中非共和国,1,0,0,2020/3/16
中非共和国,1,0,0,2020/3/17
中非共和国,1,0,0,2020/3/18
中非共和国,1,0,0,2020/3/19
中非共和国,3,0,0,2020/3/20
中非共和国,3,0,0,2020/3/21
中非共和国,3,0,0,2020/3/22
中非共和国,3,0,0,2020/3/23
中非共和国,4,0,0,2020/3/24
中非共和国,4,0,0,2020/3/25
中非共和国,4,0,0,2020/3/26
中非共和国,5,0,0,2020/3/27
中非共和国,6,0,0,2020/3/28
中非共和国,6,0,0,2020/3/29
中非共和国,6,0,0,2020/3/30
中非共和国,6,0,0,2020/3/31
中非共和国,6,0,0,2020/4/1
中非共和国,6,0,0,2020/4/2
中非共和国,8,0,0,2020/4/3
中非共和国,8,0,0,2020/4/4
中非共和国,9,0,0,2020/4/5
中非共和国,9,0,0,2020/4/6
中非共和国,9,0,0,2020/4/7
中非共和国,10,0,0,2020/4/8
中非共和国,11,0,0,2020/4/9
中非共和国,11,0,0,2020/4/10
中非共和国,11,0,0,2020/4/12
中非共和国,11,0,0,2020/4/13
中非共和国,11,0,0,2020/4/15
中非共和国,12,0,0,2020/4/16
中非共和国,12,0,0,2020/4/17
中非共和国,12,10,0,2020/4/19
中非共和国,12,10,0,2020/4/20
中非共和国,14,10,0,2020/4/21
中非共和国,14,10,0,2020/4/22
中非共和国,17,10,0,2020/4/23
中非共和国,19,10,0,2020/4/24
中非共和国,19,10,0,2020/4/25
中非共和国,19,10,0,2020/4/26
中非共和国,41,10,0,2020/4/27
中非共和国,41,10,0,2020/4/28
中非共和国,42,10,0,2020/4/29
