type,省治愈,省治愈,省死亡,name,新增确诊,新增治愈,新增死亡,value,治愈,死亡,date
湖北省,549,31,24,武汉,495.0,31.0,23.0,495.0,31.0,23.0,2020-01-23
湖北省,549,31,24,孝感,22.0,0.0,0.0,22.0,0.0,0.0,2020-01-23
湖北省,549,31,24,黄冈,12.0,0.0,0.0,12.0,0.0,0.0,2020-01-23
湖北省,549,31,24,荆州,8.0,0.0,0.0,8.0,0.0,0.0,2020-01-23
湖北省,549,31,24,荆门,8.0,0.0,0.0,8.0,0.0,0.0,2020-01-23
湖北省,549,31,24,仙桃,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
湖北省,549,31,24,宜昌,1.0,0.0,1.0,1.0,0.0,1.0,2020-01-23
湖北省,549,31,24,十堰,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
广东省,53,2,0,佛山,7.0,0.0,0.0,7.0,0.0,0.0,2020-01-23
广东省,53,2,0,广州,7.0,0.0,0.0,7.0,0.0,0.0,2020-01-23
广东省,53,2,0,惠州,5.0,0.0,0.0,5.0,0.0,0.0,2020-01-23
广东省,53,2,0,韶关,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
广东省,53,2,0,深圳,15.0,2.0,0.0,15.0,2.0,0.0,2020-01-23
广东省,53,2,0,湛江,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
广东省,53,2,0,珠海,8.0,0.0,0.0,8.0,0.0,0.0,2020-01-23
广东省,53,2,0,中山,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
广东省,53,2,0,阳江,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
广东省,53,2,0,肇庆,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
广东省,53,2,0,清远,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
黑龙江省,4,0,1,牡丹江,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
黑龙江省,4,0,1,哈尔滨,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
黑龙江省,4,0,1,大庆,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
黑龙江省,4,0,1,绥化,1.0,0.0,1.0,1.0,0.0,1.0,2020-01-23
